Name,Affinity[µM],MW,logP,nrotb,HBA,HBD,PSA,n_atoms,Smiles
A6a,3.84118037453921,288.424,3.8792,0,2,1,37.3,21,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@H]2O)C)C
11494167,0.78,356.864,6.7715,1,1,2,27.82,25,C[C@@H]1CC(C)(C)Nc2c1c(Cl)c(cc2C)c1ccc(c2c1[nH]cc2)F
9948117,0.026,296.288,3.8216,1,2,2,44.89,21,O=c1cc(c2c([nH]1)cc1c(c2)CCC(N1)(C)C)C(F)(F)F
10199303,0.058,270.25,3.4402,3,2,2,44.89,19,CC(Nc1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)C
44282950,0.621,325.832,6.2058,0,2,1,21.26,23,Clc1ccc2c(-c3ccc4c(c3[C@H](O2)C)C(=CC(N4)(C)C)C)c1
261000,0.00074,284.393,3.7194,0,2,1,37.3,21,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
122640131,0.084,463.451,5.66148,7,4,2,78.05,34,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1cccc2c1ccccc1)(O)C
122640074,0.086,481.442,5.80058,7,4,2,78.05,35,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1ccc(c2F)c1ccccc1)(O)C
10614884,0.029,310.314,4.2117,2,2,2,44.89,22,CC[C@@]1(C)CCc2c(N1)cc1c(c2)c(cc(=O)[nH]1)C(F)(F)F
16090313,0.0071,364.286,4.3256,6,2,1,36.1,25,O=c1cc(c2c([nH]1)ccc(c2)N(CC(F)(F)F)CC1CC1)C(F)(F)F
10805958,0.57,325.241,4.6982,3,2,1,29.46,19,COc1cc(C[C@H]2[C@H](C)CCCC2=C)c(cc1Br)O
22279141,0.05,284.277,3.8319,5,2,2,44.89,20,CCCCNc1ccc2c(c1)[nH]c(=O)cc2C(F)(F)F
44568540,0.22,350.371,4.594,6,4,1,97.08,26,[O-][N+](=O)c1ccc(cc1)N(c1cn(c(c1)C(=O)N)C)Cc1ccccc1
69265349,0.028,386.389,3.64828,2,5,1,89.78,26,N#Cc1ccc(cc1C(F)(F)F)N1C[C@@H]2[C@@](S1(=O)=O)(C)[C@H]1C[C@@H]2[C@@H](C1)O
9888362,0.281,420.23,4.3039,4,3,1,45.33,28,O=c1[nH]c2cc3OC[C@H](N(c3cc2c(c1)C(F)(F)F)CC(F)(F)F)C(F)(F)F
9865500,0.0094,396.284,3.388,5,4,1,54.56,27,COC[C@@H]1COc2c(N1CC(F)(F)F)cc1c(c2)[nH]c(=O)cc1C(F)(F)F
49862839,0.036,447.407,2.48538,4,7,0,90.71,32,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)C(=O)C1CC1)C
10591908,0.081,322.325,4.3027,1,2,1,34.03,23,CC1=CC(C)(C)Nc2c1cc1c(c2)n(C)c(=O)cc1C(F)(F)F
44568499,0.17,337.372,4.2871,6,3,1,74.22,25,OCc1cc(cn1C)N(c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1
25016975,1,295.265,3.2352,0,2,1,63.07,22,Fc1ccc2c(c1)c1ccc3c(c1c(=O)o2)c(C)cc(=O)[nH]3
52949572,1.8,456.614,5.1355,12,5,2,75.99,33,OC[C@@H](COc1ccc(cc1C)C(c1ccc(c(c1)C)OCC(=O)C(C)(C)C)(CC)CC)O
10733732,0.056,310.314,3.832,1,2,1,34.03,22,Cn1c(=O)cc(c2c1cc1NC(C)(C)CCc1c2)C(F)(F)F
44568458,0.049,472.46,5.9875,8,4,0,74.3,34,Cn1cc(cc1C(=O)N1CCCC1)N(c1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])Cc1ccccc1
10854490,0.04,338.367,4.7014,1,2,1,34.03,24,C[C@@H]1CC(C)(C)Nc2c1cc1c(c2C)n(C)c(=O)cc1C(F)(F)F
25017513,0.005,309.316,3.1101,1,4,2,71.55,23,COc1c(O)ccc2c1-c1ccc3c(c1CO2)c(C)cc(=O)[nH]3
44404365,3.38,454.688,6.7013,12,4,4,64.52,33,CCC(c1ccc(c(c1)C)NCCC(O)(C)C)(c1ccc(c(c1)C)NCCC(O)(C)C)CC
K07,526.787659276238,254.475,1.7755,3,2,0,49.36,14,[O-]C(=O)COc1cc(Cl)c(cc1Cl)Cl
24952192,2.341,366.434,4.8242,4,5,2,99.69,26,Oc1ccc2c(c1)Oc1c([C@@H]2C(C(=O)Nc2nccs2)(C)C)cccc1
44454335,0.221,403.6,2.6764,1,4,0,46.61,20,O=C1N(c2ccc(c(c2)Cl)I)C(=O)[C@@H]2[C@H]1[C@H]1CC[C@@H]2O1
17758236,0.346,485.637,8.5785,4,4,2,78.96,35,CC/C=C(/c1ccsc1/C=C/1\Oc2ccc(c(c2-c2c1c1C(=CC(Nc1cc2)(C)C)C)OC)O)\C
44425763,0.0013,289.262,0.91048,1,6,1,84.64,21,N#Cc1ccc(c(c1F)C)N1C(=O)[C@H]2N(C1=O)CC[C@H]2O
16658899,0.206,360.33,4.0109,3,3,1,45.33,26,O=c1cc(c2c([nH]1)cc1c(c2)N(CCO1)Cc1ccccc1)C(F)(F)F
